computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill
Laposka		54	female	20	noASRT	noPattern	1	1	1	34	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3645819999999276	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	35	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,5889156999999159	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	36	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,40488460000005944	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	37	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32455189999996037	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	38	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,37276760000008835	0	1	1	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	39	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3489248000000771	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	40	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4207653000000846	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	41	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,34042760000011185	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	42	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3005865000000085	0	3	3	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	43	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3568643000000975	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	44	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3728228999998464	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	45	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,41288970000005065	0	4	4	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	46	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,28475460000004205	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	47	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3169596000000183	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	48	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,5488511000000926	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	49	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,30089939999993476	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	50	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3409908999999516	0	3	3	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	51	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3169126000000233	0	3	3	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	52	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3888182999999117	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	53	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3408586999998988	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	54	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,34090179999998327	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	55	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,26891569999997955	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	56	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3007747000001473	0	4	4	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	57	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31686050000007526	0	4	4	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	58	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4282398000000285	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	59	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31669570000008207	1	4	3	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	60	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,46894240000005993	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	61	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3489342000000306	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	62	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2927010999999311	1	3	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	63	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3888285000000451	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	64	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,38892699999996694	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	65	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4528124000000844	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	66	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2928059000000758	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	67	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,26890640000010535	0	2	2	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	68	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,26884960000006686	0	2	2	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	69	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,38038800000003903	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	70	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,36484330000007503	0	2	2	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	71	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31692199999997683	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	72	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,46883450000018456	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	73	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32497239999997873	0	2	2	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	74	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2284778999999162	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	75	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,38898169999993115	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	76	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3806273999998666	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	77	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,17409989999987374	1	3	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	78	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,34938790000001063	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	79	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,35602749999998196	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	80	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3724880999998277	0	2	2	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	81	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,30088550000004943	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	82	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2930118000001585	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	83	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3247957999999471	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	84	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,30098359999988133	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	85	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32488119999993614	0	2	2	True	False
