computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		51	female	19	implicit	1324	1	1	1	1	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	none	0,7185409999983676	0	2	2	none	none	none
Laposka		51	female	19	implicit	1324	1	1	1	2	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	none	0,4725352000023122	0	2	2	none	none	none
Laposka		51	female	19	implicit	1324	1	1	1	3	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	high	0,519419399999606	0	4	4	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	4	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,6545339999975113	0	3	3	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	5	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	high	0,46067279999988386	0	1	1	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	6	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,4556027000035101	0	2	2	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	7	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,43989370000053896	0	4	4	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	8	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,44997760000114795	0	4	4	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	9	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,48769220000031055	0	2	2	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	10	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,47169020000001183	0	1	1	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	11	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,4392994000008912	0	2	2	False	True	low
Laposka		51	female	19	implicit	1324	1	1	1	12	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,5433254999989003	0	3	3	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	13	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,6716522999995505	0	1	1	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	14	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,5030839999999444	0	2	2	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	15	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,47130119999928866	0	2	2	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	16	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,4236677000008058	0	4	4	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	17	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,4876087999982701	0	3	3	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	18	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,447782899998856	0	1	1	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	19	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,4474152000002505	0	1	1	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	20	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,511524500001542	0	3	3	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	21	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,4870708000016748	0	2	2	False	False	low
Laposka		51	female	19	implicit	1324	1	1	1	22	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,4316416000001482	0	2	2	False	False	high
Laposka		51	female	19	implicit	1324	1	1	1	23	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	random	low	0,43962639999881503	0	2	2	True	False	low
Laposka		51	female	19	implicit	1324	1	1	1	24	59,9855194957544	16,67763865544894	0,11675993411432166	Gold	pattern	high	0,4398196000001917	0	4	4	False	False	high
