computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		68	female	20	implicit	1234	1	1	1	1	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	none	0,482888800001092	0	1	1	none	none	none
Laposka		68	female	20	implicit	1234	1	1	1	2	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	none	0,3761512000019138	0	1	1	none	none	none
Laposka		68	female	20	implicit	1234	1	1	1	3	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,32886359999974957	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	4	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,28884020000259625	1	3	2	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	5	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3274042000011832	0	2	2	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	6	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3834820999982185	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	7	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,33554089999961434	0	4	4	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	8	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,36747340000147233	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	9	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,34361450000142213	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	10	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3994977000002109	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	11	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,35975239999970654	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	12	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,37562249999973574	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	13	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3833971999993082	0	2	2	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	14	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3596700000016426	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	15	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,3512169999994512	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	16	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,43954590000066673	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	17	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,2715993999991042	1	4	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	18	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,31964499999958207	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	19	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3034613999989233	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	20	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,35967950000122073	1	3	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	21	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3756543999988935	0	2	2	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	22	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3833697999980359	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	23	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,39936170000146376	0	1	1	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	24	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3839144000012311	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	25	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,35164460000305553	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	26	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,34324439999909373	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	27	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3595943000000261	0	3	3	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	28	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,4715187000001606	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	29	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,36796680000043125	0	1	1	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	30	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,34344010000131675	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	31	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,4634148000004643	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	32	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3359517999997479	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	33	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,3913332999982231	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	34	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,31136719999994966	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	35	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,37521059999926365	0	4	4	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	36	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,4396267000010994	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	37	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,37550220000048284	0	2	2	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	38	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,352057899999636	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	39	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,6390222999980324	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	40	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,31985660000282223	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	41	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3998265000009269	0	1	1	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	42	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,30365189999793074	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	43	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,4474651000018639	1	1	2	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	44	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,5512397999991663	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	45	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3756481000018539	0	1	1	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	46	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,38341749999744934	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	47	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,5835131999992882	0	1	1	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	48	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,43161570000302163	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	49	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,33554129999902216	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	50	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,32754539999950794	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	51	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,5112135999988823	0	1	1	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	52	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,43913270000120974	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	53	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,38351979999788455	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	54	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3514742999977898	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	55	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3677535999995598	0	4	4	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	56	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,37572870000076364	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	57	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,3755854000010004	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	58	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,29543439999906695	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	59	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,3275821999995969	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	60	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,33586380000269855	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	61	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,32768399999986286	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	62	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,29532150000159163	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	63	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,4553042999978061	0	3	3	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	64	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3119034000010288	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	65	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,3594784000015352	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	66	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3517348999994283	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	67	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,4791284999992058	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	68	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,4072940000005474	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	69	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,32755059999908553	0	1	1	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	70	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,38348759999644244	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	71	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3993209999971441	0	4	4	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	72	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3596542999985104	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	73	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3595272999991721	0	4	4	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	74	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,3278524999986985	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	75	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3195512999991479	0	3	3	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	76	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,4557783999989624	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	77	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3750569000003452	0	2	2	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	78	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,39957090000098106	0	4	4	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	79	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,39139829999840003	0	4	4	False	False	low
Laposka		68	female	20	implicit	1234	1	1	1	80	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,36761050000131945	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	81	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	high	0,2955708000008599	0	1	1	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	82	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,319263299999875	0	2	2	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	83	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,31968879999840283	1	1	2	False	True	low
Laposka		68	female	20	implicit	1234	1	1	1	84	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	pattern	high	0,4716556999992463	0	3	3	False	False	high
Laposka		68	female	20	implicit	1234	1	1	1	85	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,46340459999919403	0	1	1	False	True	low
Laposka		68	female	20	implicit	1234	1	1	2	1	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	none	0,4182345000008354	0	2	2	none	none	none
Laposka		68	female	20	implicit	1234	1	1	2	2	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	none	0,36698249999972177	0	3	3	none	none	none
Laposka		68	female	20	implicit	1234	1	1	2	3	60,00589257811373	16,672352100834996	0,0822904580134088	Gold	random	low	0,3115295999996306	1	4	2	False	False	low
