computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		28	female	21	implicit	1432	1	1	1	1	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	none	0,48765350000030594	0	3	3	none	none	none
Laposka		28	female	21	implicit	1432	1	1	1	2	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	none	0,4460849999995844	0	4	4	none	none	none
Laposka		28	female	21	implicit	1432	1	1	1	3	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,399826299999404	0	3	3	False	True	low
Laposka		28	female	21	implicit	1432	1	1	1	4	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,47874480000245967	0	1	1	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	5	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,37558590000116965	0	3	3	False	True	low
Laposka		28	female	21	implicit	1432	1	1	1	6	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,4231614000018453	0	4	4	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	7	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,4984547999993083	0	1	1	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	8	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,4317986000023666	0	3	3	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	9	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,4427681000015582	0	2	2	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	10	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,48753860000215354	0	2	2	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	11	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,4717541000027268	0	4	4	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	12	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,4476993999996921	0	1	1	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	13	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,4798625000003085	0	4	4	False	True	low
Laposka		28	female	21	implicit	1432	1	1	1	14	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,44763569999850006	0	4	4	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	15	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,44758809999984805	0	1	1	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	16	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,40783139999984996	0	3	3	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	17	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	low	0,4397065000011935	0	3	3	False	False	low
Laposka		28	female	21	implicit	1432	1	1	1	18	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,4799806999981229	0	2	2	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	19	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	high	0,4399133000006259	0	2	2	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	20	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,4476878999994369	0	1	1	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	21	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	random	high	0,46383090000017546	0	1	1	False	False	high
Laposka		28	female	21	implicit	1432	1	1	1	22	59,983936301744826	16,676616806724255	0,07467958141930928	Gold	pattern	high	0,43980910000027507	0	4	4	False	False	high
