computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		7	female	24	implicit	1324	1	1	1	1	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	none	0,6631561999965925	0	3	3	none	none	none
Laposka		7	female	24	implicit	1324	1	1	1	2	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	none	0,3453944000066258	0	3	3	none	none	none
Laposka		7	female	24	implicit	1324	1	1	1	3	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,5841747999947984	0	4	4	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	4	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,3672414999891771	0	3	3	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	5	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,40730120000080206	0	3	3	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	6	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4685122000082629	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	7	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4469128000055207	0	1	1	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	8	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,529489000007743	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	9	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,39177610000479035	0	4	4	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	10	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4075169999996433	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	11	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,3597328000032576	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	12	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,41558839999197517	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	13	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,3438878000015393	1	1	3	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	14	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4956363999954192	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	15	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4875305000023218	0	1	1	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	16	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5118336000014096	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	17	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,5033580000017537	1	2	1	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	18	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,36781409999821335	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	19	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,5035264000034658	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	20	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5436716999975033	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	21	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,6238402000017231	0	4	4	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	22	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4391382000030717	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	23	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,5278756000043359	0	3	3	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	24	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5117882000049576	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	25	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,43166780000319704	0	4	4	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	26	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,7680259000044316	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	27	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,9038167000107933	0	2	2	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	28	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,663367000001017	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	29	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,5275969999929657	0	3	3	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	30	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5595661000115797	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	31	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4319668000098318	0	3	3	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	32	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4400086999958148	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	33	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4072172000014689	0	1	1	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	34	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,33588400000007823	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	35	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,455581300004269	0	4	4	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	36	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,48748589999740943	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	37	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,431824899991625	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	38	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4394356999982847	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	39	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,37560269999084994	0	2	2	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	40	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,4396125000057509	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	41	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,7997010999970371	0	2	2	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	42	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5037394999962999	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	43	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,35988750000251457	0	1	1	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	44	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,3595136999938404	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	45	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,41569300000264775	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	46	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,6315715000091586	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	47	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,46385949999967124	0	3	3	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	48	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,42387899999448564	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	49	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,4873793000006117	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	50	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,5120281999988947	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	51	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	1,0644159999937983	0	1	1	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	52	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,40757929999381304	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	53	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,3353294999978971	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	54	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,47977289999835193	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	55	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,44019399999524467	0	3	3	False	True	low
Laposka		7	female	24	implicit	1324	1	1	1	56	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,440273200001684	0	4	4	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	57	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4953726999956416	0	4	4	False	False	low
Laposka		7	female	24	implicit	1324	1	1	1	58	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,48718840000219643	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	59	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,3680175000044983	0	1	1	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	60	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,39958779999869876	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	61	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	high	0,44753760000457987	0	3	3	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	62	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	pattern	high	0,43968260000110604	0	2	2	False	False	high
Laposka		7	female	24	implicit	1324	1	1	1	63	59,975302167530124	16,674245378132635	0,03250275169308928	Gold	random	low	0,4473648000130197	0	4	4	False	False	low
