computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		84	female	20	implicit	1234	1	1	1	1	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	none	0,6002961000003779	0	4	4	none	none	none
Laposka		84	female	20	implicit	1234	1	1	1	2	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	none	0,43218549999983225	0	3	3	none	none	none
Laposka		84	female	20	implicit	1234	1	1	1	3	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	low	0,45547499999975116	0	4	4	False	True	low
Laposka		84	female	20	implicit	1234	1	1	1	4	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	high	0,4660929000001488	0	4	4	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	5	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	low	0,4551306999996996	0	3	3	False	False	low
Laposka		84	female	20	implicit	1234	1	1	1	6	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,4934531000003517	0	1	1	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	7	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	high	0,5917017000001579	0	4	4	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	8	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,4929264000002149	0	2	2	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	9	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	low	0,39238590000013573	0	2	2	False	False	low
Laposka		84	female	20	implicit	1234	1	1	1	10	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,43916829999989204	0	3	3	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	11	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	low	0,39935239999977057	1	2	3	False	True	low
Laposka		84	female	20	implicit	1234	1	1	1	12	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,6317834999999832	0	4	4	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	13	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	high	0,38368809999974474	0	3	3	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	14	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,5197490000000471	0	1	1	False	False	high
Laposka		84	female	20	implicit	1234	1	1	1	15	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	random	low	0,43937770000002274	0	3	3	False	True	low
Laposka		84	female	20	implicit	1234	1	1	1	16	59,994984419197905	16,677819327733157	0,05353159954232343	Gold	pattern	high	0,3998433000001569	0	2	2	False	False	high
