computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill
Laposka		78	male	20	noASRT	noPattern	1	1	1	1	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,459938299987698	0	2	2	none	none
Laposka		78	male	20	noASRT	noPattern	1	1	1	2	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3007479000079911	0	3	3	none	none
Laposka		78	male	20	noASRT	noPattern	1	1	1	3	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3007969000027515	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	4	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3089237999956822	0	3	3	True	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	5	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3007046000129776	0	2	2	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	6	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,31640060000063386	0	1	1	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	7	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,27682739999727346	0	1	1	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	8	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,33270499999343883	0	1	1	True	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	9	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3168459000007715	0	1	1	True	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	10	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,34860529999423306	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	11	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3327991000114707	0	2	2	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	12	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,30078549998870585	0	3	3	False	True
Laposka		78	male	20	noASRT	noPattern	1	1	1	13	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,41246370000590105	0	4	4	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	14	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,372553399996832	0	4	4	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	15	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3087699000025168	0	1	1	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	16	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,28474080000887625	0	1	1	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	17	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3088405000016792	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	18	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,2928219000023091	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	19	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3648264000075869	0	2	2	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	20	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,28476059999957215	0	2	2	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	21	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,2927386000083061	0	2	2	True	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	22	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3168864999897778	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	23	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3007308000087505	0	2	2	False	True
Laposka		78	male	20	noASRT	noPattern	1	1	1	24	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3568987000035122	0	3	3	False	True
Laposka		78	male	20	noASRT	noPattern	1	1	1	25	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,30870799999684095	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	26	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,31687830000009853	0	1	1	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	27	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,3887594999978319	0	2	2	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	28	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,2928152999957092	0	3	3	False	False
Laposka		78	male	20	noASRT	noPattern	1	1	1	29	59,97807201398682	16,671558823597916	0,11572192740373974	Gold	random	none	0,35684670000046026	0	1	1	False	False
